code,color,y,x1,x2,x3,x4,x5,x6,x7,Overduearea,Planneddeliveryarea,Province,City,Region,x_coord,y_coord,Overdue,Planned,O_rate,color_text,Region_n
sdlc060,1,67345.4,26.854283,0,1.0922967,2.1986635,0.6899470327975797,0.019919818030096056,0.09335376053505097,67345.4,67345.4,Shandong,聊城市,Eastern area,818.8971,3022.989,67345.4,67345.4,1.0,Red,3
ldwh061,1,20211.7,4.4510219,1,0.82209979,1.4536956,0.8467148355855535,0.016559034321694505,0.9495546659761421,20211.7,20211.7,Shandong,威海市,Eastern area,818.8971,3022.989,20211.7,20211.7,1.0,Red,3
hbsj062,1,39404.91,14.042235,0,1.0233375,0.61536948,0.7109781757714158,0.01213319377191041,0.2488844305706367,39404.91,39404.91,Hebei,石家庄市,Eastern area,549.064,3292.096,39404.91,39404.91,1.0,Red,3
hsnt063,2,81575.15999999999,47.667446,0,1.4698966,0.38812285,0.9150533164260033,0.016125056146342066,0.23917430379723265,81575.15999999999,81575.15999999999,Jiangsu,南通市,Eastern area,865.042,2555.597,81575.15999999999,81575.15999999999,1.0,Yellow,3
xbls064,3,99108.09000000001,145.16891999999999,0,2.2287061,0.16780986,0.69177574771193,0.03045135059379122,0.2527564278261851,99108.09000000001,99108.09000000001,Tibet,拉萨市,Western area,-1985.1,2569.447,99108.09000000001,99108.09000000001,1.0,Green,2
sdly065,1,38764.590000000004,0.0,0,1.1792515,1.7056175,0.6899470327975797,0.019919818030096056,0.09335376053505097,38764.590000000004,67747.04,Shandong,临沂市,Eastern area,818.8971,3022.989,38764.590000000004,67747.04,0.5721960693780866,Red,3
ldyt066,1,28364.699999999997,32.791574999999995,0,1.2391595,2.0535877,0.8467148355855535,0.016559034321694505,0.9495546659761421,28364.699999999997,28364.699999999997,Shandong,烟台市,Eastern area,818.8971,3022.989,28364.699999999997,28364.699999999997,1.0,Red,3
xbxn067,1,116581.63,9.5325184,0,1.383947,0.93381758,0.69177574771193,0.03045135059379122,0.2527564278261851,116581.63,116581.63,Qinghai,西宁市,Western area,-1236.947,2915.147,116581.63,116581.63,1.0,Red,2
sdhz068,1,70469.62,27.938004999999997,0,1.1900518,3.5028758,0.6899470327975797,0.019919818030096056,0.09335376053505097,70469.62,70469.62,Shandong,菏泽市,Eastern area,818.8971,3022.989,70469.62,70469.62,1.0,Red,3
xblz069,1,195118.33,7.0908623,1,1.2445054,1.8504804,0.69177574771193,0.03045135059379122,0.2527564278261851,195118.33,195118.33,Gansu,兰州市,Western area,-762.6987,3093.822,195118.33,195118.33,1.0,Red,2
gzzy070,1,8248.0,9.3760013,0,1.3598859,1.1939849,0.7882375474307484,0.08463759381221045,0.39795838886757934,8248.0,8248.0,Guizhou,遵义市,Western area,-310.2428,1827.834,8248.0,8248.0,1.0,Red,2
ldqd071,1,50163.12,49.010044,1,0.89131801,5.2497279,0.8467148355855535,0.016559034321694505,0.9495546659761421,50163.12,50163.12,Shandong,青岛市,Eastern area,818.8971,3022.989,50163.12,50163.12,1.0,Red,3
xbgn072,2,29629.04,6.1506862,0,1.2282567,0.54061576,0.69177574771193,0.03045135059379122,0.2527564278261851,29629.04,29629.04,Gansu,临夏市,Western area,-762.6987,3093.822,29629.04,29629.04,1.0,Yellow,2
